time	V(out)
0.000000000000000e+00	2.484121e-07
9.999999824516700e-15	2.524188e-07
1.999999964903340e-14	2.564660e-07
2.342285673182512e-11	9.987949e-06
4.682571346400121e-11	1.988193e-05
7.022857019617731e-11	2.993842e-05
9.363142692835340e-11	4.015740e-05
1.170342836605295e-10	5.053889e-05
1.404371403927056e-10	6.108288e-05
1.638399971248816e-10	7.178937e-05
3.276799942497632e-10	1.489195e-04
5.814208056320702e-10	3.122325e-04
7.115890528048970e-10	4.779647e-04
8.586313096758252e-10	7.547179e-04
9.057291643780303e-10	8.365985e-04
9.999248737824405e-10	9.644575e-04
1.000000000000000e-09	9.645348e-04
1.000150252435119e-09	9.643565e-04
1.000450757305357e-09	9.639996e-04
1.022344683565575e-09	9.375621e-04
1.044238609825793e-09	9.106729e-04
1.066132536086010e-09	8.833320e-04
1.088026462346228e-09	8.555395e-04
1.109920388606445e-09	8.272953e-04
1.131814314866663e-09	7.985994e-04
1.153708241126880e-09	7.694518e-04
1.307566734688879e-09	5.612748e-04
1.615283721812878e-09	1.405232e-04
2.094601931749101e-09	-4.840977e-04
2.692239876821265e-09	-1.167124e-03
3.488227306191470e-09	-1.903136e-03
4.488227306191471e-09	-2.610596e-03
5.488227306191471e-09	-3.129479e-03
6.488227306191470e-09	-3.499911e-03
7.488227306191470e-09	-3.762951e-03
8.488227306191471e-09	-3.948501e-03
9.488227306191472e-09	-4.078313e-03
1.048822730619147e-08	-4.168191e-03
1.148822730619147e-08	-4.229618e-03
1.248822730619147e-08	-4.270924e-03
1.348822730619147e-08	-4.298155e-03
1.448822730619148e-08	-4.315686e-03
1.548822730619147e-08	-4.326679e-03
1.648822730619147e-08	-4.333410e-03
1.748822730619147e-08	-4.337509e-03
1.848822730619147e-08	-4.340135e-03
1.948822730619147e-08	-4.342100e-03
2.048822730619147e-08	-4.343961e-03
2.248822730619147e-08	-4.348700e-03
2.377394159190575e-08	-4.353432e-03
2.505965587762004e-08	-4.358820e-03
2.634537016333432e-08	-4.364864e-03
2.763108444904861e-08	-4.371564e-03
2.891679873476289e-08	-4.378919e-03
3.020251302047718e-08	-4.386931e-03
3.148822730619147e-08	-4.395598e-03
3.448822730619147e-08	-4.413655e-03
3.663108444904862e-08	-4.425779e-03
3.877394159190577e-08	-4.435001e-03
4.091679873476292e-08	-4.441318e-03
4.305965587762007e-08	-4.444733e-03
4.520251302047721e-08	-4.445243e-03
4.734537016333437e-08	-4.442851e-03
4.948822730619151e-08	-4.437555e-03
5.148822730619151e-08	-4.427474e-03
5.348822730619152e-08	-4.412552e-03
5.548822730619152e-08	-4.391819e-03
5.748822730619153e-08	-4.364070e-03
5.948822730619153e-08	-4.327827e-03
6.148822730619152e-08	-4.281305e-03
6.348822730619151e-08	-4.222387e-03
6.548822730619150e-08	-4.148600e-03
6.748822730619150e-08	-4.057104e-03
6.948822730619149e-08	-3.944712e-03
7.148822730619148e-08	-3.807918e-03
7.348822730619147e-08	-3.642957e-03
7.548822730619146e-08	-3.445887e-03
7.748822730619145e-08	-3.212679e-03
7.948822730619145e-08	-2.939308e-03
8.248822730619143e-08	-2.445340e-03
8.548822730619142e-08	-1.839367e-03
8.748822730619141e-08	-1.367160e-03
8.948822730619140e-08	-8.363356e-04
9.148822730619139e-08	-2.440623e-04
9.248822730619139e-08	7.314186e-05
9.348822730619139e-08	4.035649e-04
9.448822730619138e-08	7.512679e-04
9.648822730619137e-08	1.505564e-03
9.848822730619136e-08	2.337184e-03
1.004882273061914e-07	3.246738e-03
1.024882273061913e-07	4.236263e-03
1.054882273061913e-07	5.876642e-03
1.084882273061913e-07	7.713944e-03
1.114882273061913e-07	9.759622e-03
1.144882273061913e-07	1.202543e-02
1.174882273061913e-07	1.452328e-02
1.204882273061913e-07	1.726525e-02
1.234882273061913e-07	2.026368e-02
1.267739415919055e-07	2.379871e-02
1.300596558776198e-07	2.773000e-02
1.333453701633341e-07	3.205754e-02
1.366310844490484e-07	3.678135e-02
1.399167987347626e-07	4.190141e-02
1.432025130204769e-07	4.741773e-02
1.464882273061912e-07	5.333031e-02
1.487739415919054e-07	5.772517e-02
1.510596558776197e-07	6.243757e-02
1.533453701633340e-07	6.746751e-02
1.556310844490483e-07	7.281501e-02
1.579167987347625e-07	7.848004e-02
1.602025130204768e-07	8.446262e-02
1.624882273061911e-07	9.076275e-02
1.654882273061911e-07	9.978603e-02
1.684882273061911e-07	1.096663e-01
1.714882273061911e-07	1.205382e-01
1.744882273061911e-07	1.325583e-01
1.774882273061910e-07	1.458949e-01
1.789167987347625e-07	1.527481e-01
1.803453701633339e-07	1.599621e-01
1.817739415919053e-07	1.675367e-01
1.832025130204767e-07	1.754721e-01
1.846310844490482e-07	1.837682e-01
1.860596558776196e-07	1.924250e-01
1.874882273061910e-07	2.014426e-01
1.903453701633338e-07	2.208778e-01
1.932025130204767e-07	2.410725e-01
1.960596558776195e-07	2.620265e-01
1.989167987347624e-07	2.837401e-01
2.017739415919052e-07	3.062130e-01
2.046310844490481e-07	3.294454e-01
2.074882273061909e-07	3.534372e-01
2.114882273061909e-07	3.872057e-01
2.154882273061909e-07	4.211613e-01
2.194882273061909e-07	4.553041e-01
2.234882273061908e-07	4.896341e-01
2.274882273061908e-07	5.241512e-01
2.314882273061908e-07	5.588555e-01
2.354882273061908e-07	5.937469e-01
2.492025130204768e-07	7.133109e-01
2.629167987347628e-07	8.327793e-01
2.766310844490488e-07	9.521521e-01
2.903453701633348e-07	1.071429e+00
3.040596558776208e-07	1.190611e+00
3.177739415919069e-07	1.309697e+00
3.314882273061929e-07	1.428688e+00
3.334882273061929e-07	1.445965e+00
3.354882273061930e-07	1.463149e+00
3.374882273061930e-07	1.480242e+00
3.394882273061930e-07	1.497241e+00
3.414882273061931e-07	1.514149e+00
3.434882273061931e-07	1.530964e+00
3.454882273061932e-07	1.547686e+00
3.484882273061932e-07	1.572137e+00
3.504882273061933e-07	1.587920e+00
3.524882273061933e-07	1.603094e+00
3.544882273061934e-07	1.617448e+00
3.564882273061934e-07	1.630762e+00
3.594882273061935e-07	1.648401e+00
3.624882273061936e-07	1.663025e+00
3.644882273061936e-07	1.671167e+00
3.654882273061936e-07	1.674803e+00
3.664882273061936e-07	1.678172e+00
3.674882273061937e-07	1.681298e+00
3.684882273061937e-07	1.684199e+00
3.694882273061937e-07	1.686896e+00
3.704882273061937e-07	1.689408e+00
3.714882273061938e-07	1.691753e+00
3.724882273061938e-07	1.693948e+00
3.734882273061938e-07	1.696006e+00
3.744882273061938e-07	1.697943e+00
3.754882273061938e-07	1.699769e+00
3.764882273061939e-07	1.701496e+00
3.784882273061939e-07	1.704689e+00
3.804882273061940e-07	1.707586e+00
3.824882273061940e-07	1.710235e+00
3.844882273061940e-07	1.712677e+00
3.874882273061941e-07	1.716013e+00
3.904882273061942e-07	1.719024e+00
3.934882273061942e-07	1.721766e+00
3.964882273061943e-07	1.724280e+00
3.989167987347658e-07	1.726148e+00
4.013453701633373e-07	1.727927e+00
4.037739415919088e-07	1.729616e+00
4.062025130204802e-07	1.731216e+00
4.086310844490518e-07	1.732726e+00
4.110596558776232e-07	1.734147e+00
4.134882273061947e-07	1.735479e+00
4.169167987347662e-07	1.737255e+00
4.203453701633377e-07	1.738942e+00
4.237739415919092e-07	1.740538e+00
4.272025130204807e-07	1.742044e+00
4.306310844490522e-07	1.743460e+00
4.340596558776237e-07	1.744786e+00
4.374882273061952e-07	1.746021e+00
4.422025130204810e-07	1.747621e+00
4.469167987347668e-07	1.749135e+00
4.516310844490527e-07	1.750565e+00
4.563453701633385e-07	1.751908e+00
4.610596558776243e-07	1.753167e+00
4.657739415919101e-07	1.754340e+00
4.704882273061960e-07	1.755428e+00
4.769167987347672e-07	1.756820e+00
4.833453701633385e-07	1.758135e+00
4.897739415919098e-07	1.759372e+00
4.962025130204811e-07	1.760531e+00
5.026310844490524e-07	1.761612e+00
5.090596558776236e-07	1.762616e+00
5.154882273061949e-07	1.763542e+00
5.242025130204804e-07	1.764717e+00
5.329167987347658e-07	1.765824e+00
5.416310844490513e-07	1.766863e+00
5.503453701633367e-07	1.767834e+00
5.590596558776222e-07	1.768736e+00
5.677739415919076e-07	1.769570e+00
5.764882273061931e-07	1.770337e+00
5.876310844490498e-07	1.771255e+00
5.987739415919066e-07	1.772120e+00
6.099167987347634e-07	1.772932e+00
6.210596558776203e-07	1.773692e+00
6.322025130204771e-07	1.774398e+00
6.433453701633339e-07	1.775051e+00
6.544882273061907e-07	1.775651e+00
6.617739415919047e-07	1.776029e+00
6.690596558776188e-07	1.776396e+00
6.763453701633329e-07	1.776750e+00
6.836310844490469e-07	1.777091e+00
6.909167987347610e-07	1.777421e+00
6.982025130204751e-07	1.777738e+00
7.054882273061891e-07	1.778043e+00
7.103453701633318e-07	1.778243e+00
7.152025130204745e-07	1.778440e+00
7.200596558776173e-07	1.778631e+00
7.249167987347600e-07	1.778819e+00
7.297739415919026e-07	1.779002e+00
7.346310844490453e-07	1.779181e+00
7.394882273061881e-07	1.779356e+00
7.459167987347592e-07	1.779580e+00
7.523453701633305e-07	1.779790e+00
7.587739415919017e-07	1.779988e+00
7.652025130204730e-07	1.780173e+00
7.716310844490442e-07	1.780344e+00
7.780596558776155e-07	1.780503e+00
7.844882273061867e-07	1.780649e+00
7.924882273061864e-07	1.780804e+00
8.004882273061862e-07	1.780944e+00
8.084882273061859e-07	1.781066e+00
8.164882273061857e-07	1.781173e+00
8.244882273061854e-07	1.781262e+00
8.324882273061852e-07	1.781336e+00
8.404882273061849e-07	1.781392e+00
8.509167987347560e-07	1.781452e+00
8.613453701633272e-07	1.781503e+00
8.717739415918982e-07	1.781546e+00
8.822025130204694e-07	1.781580e+00
8.926310844490405e-07	1.781606e+00
9.030596558776116e-07	1.781624e+00
9.134882273061827e-07	1.781634e+00
9.242025130204686e-07	1.781644e+00
9.349167987347546e-07	1.781653e+00
9.456310844490404e-07	1.781660e+00
9.563453701633263e-07	1.781665e+00
9.670596558776122e-07	1.781670e+00
9.777739415918982e-07	1.781672e+00
9.884882273061841e-07	1.781674e+00
9.894882273061842e-07	1.781674e+00
1.000000000000000e-06	1.781675e+00
1.001000000000000e-06	1.781676e+00
1.001016325214524e-06	1.781613e+00
1.001048975643571e-06	1.781490e+00
1.001114276501665e-06	1.781268e+00
1.001244878217854e-06	1.780937e+00
1.001397720572448e-06	1.780724e+00
1.001497304295569e-06	1.780739e+00
1.001610913948647e-06	1.780901e+00
1.001683091320288e-06	1.781030e+00
1.001771894872560e-06	1.781185e+00
1.001822392895457e-06	1.781268e+00
